"Lång","David","SD","Örebro län","1972","Man"
"Löberg","Petter","S","Västra Götalands läns södra","1968","Man"
"Löfstrand","Johan","S","Östergötlands län","1976","Man"
"Löfven","Stefan","S","Stockholms kommun","1957","Man"
"Lööf","Annie","C","Jönköpings län","1983","Kvinna"
"Magnusson","Cecilia","M","Göteborgs kommun","1962","Kvinna"
"Malm","Fredrik","FP","Stockholms kommun","1977","Man"
"Malmberg","Betty","M","Östergötlands län","1958","Kvinna"
"Malmberg","Niclas","MP","Uppsala län","1970","Man"
"Malmer Stenergard","Maria","M","Skåne läns norra och östra","1981","Kvinna"
"Manhammar","Magnus","S","Blekinge län","1980","Man"
"Marttinen","Adam","SD","Stockholms kommun","1983","Man"
"Millard","Jonas","SD","Västra Götalands läns norra","1981","Man"
"Modig","Aron","KD","Göteborgs kommun","1985","Man"
"Mutt","Valter","MP","Göteborgs kommun","1955","Man"
"Niemi","Pyry","S","Uppsala län","1965","Man"
"Nilsson","Ingemar","S","Västernorrlands län","1956","Man"
"Nilsson","Jennie","S","Hallands län","1972","Kvinna"
"Nilsson","Kerstin","S","Skåne läns södra","1956","Kvinna"
"Nilsson","Kristina","S","Västernorrlands län","1965","Kvinna"
"Nilsson","Pia","S","Västmanlands län","1962","Kvinna"
"Nissinen","Johan","SD","Skåne läns norra och östra","1989","Man"
"Nohrén","Emma","MP","Västra Götalands läns västra","1980","Kvinna"
"Nordell","Lars-Axel","KD","Örebro län","1952","Man"
"Nordgren","Gunilla","M","Skåne läns södra","1956","Kvinna"
"Nordin","Lise","MP","Göteborgs kommun","1982","Kvinna"
"Nordin","Rickard","C","Göteborgs kommun","1983","Man"
"Norlén","Andreas","M","Östergötlands län","1973","Man"
"Nylander","Christer","FP","Skåne läns norra och östra","1968","Man"
"Nylund Watz","Ingela","S","Stockholms län","1962","Kvinna"
"Nysmed","Leif","S","Stockholms län","1970","Man"
"Ohlsson","Birgitta","FP","Stockholms kommun","1975","Kvinna"
"Ohlsson","Carina","S","Västra Götalands läns östra","1957","Kvinna"
"Olovsson","Fredrik","S","Södermanlands län","1973","Man"
"Olsson","Kalle","S","Jämtlands län","1984","Man"
"Olsson","Lotta","M","Örebro län","1960","Kvinna"
"Olsson","Per","MP","Stockholms kommun","1981","Man"
"Omanovic","Jasenko","S","Västernorrlands län","1967","Man"
"Oscarsson","Magnus","KD","Östergötlands län","1970","Man"
"Oscarsson","Mikael","KD","Uppsala län","1967","Man"
"Ottosson","Mattias","S","Östergötlands län","1971","Man"
"Palm","Veronica","S","Stockholms kommun","1973","Kvinna"
"Pehrson","Johan","FP","Örebro län","1968","Man"
"Persson","Magnus","SD","Dalarnas län","1970","Man"
"Persson","Mats","FP","Skåne läns södra","1980","Man"
"Persson","Peter","S","Jönköpings län","1955","Man"
"Persson","Rickard","MP","Skåne läns västra","1959","Man"
"Petersson","Jenny","M","Hallands län","1981","Kvinna"
"Petersson i Stockaryd","Helene","S","Jönköpings län","1956","Kvinna"
"Pethrus","Désirée","KD","Stockholms kommun","1959","Kvinna"
"Pettersson","Göran","M","Stockholms län","1960","Man"
"Pettersson","Leif","S","Norrbottens län","1954","Man"
"Pettersson i Umeå","Helén","S","Västerbottens län","1972","Kvinna"
"Plass","Maria","M","Västra Götalands läns västra","1953","Kvinna"
"Polfjärd","Jessica","M","Västmanlands län","1971","Kvinna"
"Pärssinen","Raimo","S","Gävleborgs län","1956","Man"
"Qarlsson","Annika","C","Västra Götalands läns norra","1964","Kvinna"
"Quicklund","Saila","M","Jämtlands län","1961","Kvinna"
"Ramhorn","Per","SD","Kronobergs län","1967","Man"
"Reinfeldt","Fredrik","M","Stockholms kommun","1965","Man"
"Reslow","Patrick","M","Malmö kommun","1970","Man"
"Riazat","Daniel","V","Dalarnas län","1991","Man"
"Richtoff","Roger","SD","Skåne läns västra","1948","Man"
"Riedl","Edward","M","Västerbottens län","1976","Man"
"Romson","Åsa","MP","Stockholms kommun","1972","Kvinna"
"Rosencrantz","Jessica","M","Stockholms kommun","1987","Kvinna"
"Rothenberg","Hans","M","Göteborgs kommun","1961","Man"
"Rågsjö","Karin","V","Stockholms kommun","1955","Kvinna"
"Schlyter","Carl","MP","Stockholms län","1968","Man"
"Schröder","Anders","MP","Gävleborgs län","1990","Man"
"Sestrajcic","Daniel","V","Malmö kommun","1976","Man"
"Shekarabi","Ardalan","S","Uppsala län","1978","Man"
"Sjöstedt","Jonas","V","Västerbottens län","1964","Man"
"Sjöstedt","Oscar","SD","Södermanlands län","1981","Man"
"Skalin","Johnny","SD","Hallands län","1978","Man"
"Skånberg","Tuve","KD","Skåne läns norra och östra","1956","Man"
"Snecker","Linda","V","Östergötlands län","1983","Kvinna"
"Sonidsson","Eva","S","Västernorrlands län","1955","Kvinna"
"Staxäng","Lars-Arne","M","Västra Götalands läns västra","1956","Man"
"Stockhaus","Maria","M","Stockholms län","1963","Kvinna"
"Strand","Thomas","S","Jönköpings län","1954","Man"
"Strandberg","Torkild","FP","Skåne läns västra","1970","Man"
"Strömkvist","Maria","S","Dalarnas län","1964","Kvinna"
"Ståhl","Jimmy","SD","Göteborgs kommun","1975","Man"
